algo,fid,dim,iid,fval,f_minus_opt
BrentSTEPqi,1,2,1,11.0,0.0
BrentSTEPqi,1,2,2,12.0,0.0
BrentSTEPqi,1,2,3,11.0,0.008958463805
BrentSTEPqi,1,2,4,9.0,0.0
BrentSTEPqi,1,2,5,10.0,0.0
BrentSTEPqi,1,3,1,15.0,0.0
BrentSTEPqi,1,3,2,19.0,0.0
BrentSTEPqi,1,3,3,15.0,0.008958463805
BrentSTEPqi,1,3,4,19.0,0.0
BrentSTEPqi,1,3,5,16.0,0.0
BrentSTEPqi,1,5,1,26.0,0.0
BrentSTEPqi,1,5,2,30.0,0.0
BrentSTEPqi,1,5,3,30.0,0.0
BrentSTEPqi,1,5,4,29.0,0.0
BrentSTEPqi,1,5,5,26.0,0.0
BrentSTEPqi,1,10,1,51.0,0.0
BrentSTEPqi,1,10,2,61.0,0.0
BrentSTEPqi,1,10,3,55.0,0.0
BrentSTEPqi,1,10,4,54.0,0.0
BrentSTEPqi,1,10,5,51.0,0.0
BrentSTEPqi,2,2,1,17.0,2.942842613e-05
BrentSTEPqi,2,2,2,22.0,0.008629171573
BrentSTEPqi,2,2,3,19.0,0.006166844239
BrentSTEPqi,2,2,4,24.0,0.0006546525308
BrentSTEPqi,2,2,5,21.0,2.062227709e-05
BrentSTEPqi,2,3,1,26.0,0.001188794422
BrentSTEPqi,2,3,2,32.0,0.006423127448
BrentSTEPqi,2,3,3,27.0,0.003558809511
BrentSTEPqi,2,3,4,28.0,0.006445445874
BrentSTEPqi,2,3,5,28.0,0.004936834223
BrentSTEPqi,2,5,1,49.0,0.00323220762
BrentSTEPqi,2,5,2,46.0,0.007089355371
BrentSTEPqi,2,5,3,48.0,0.003192054223
BrentSTEPqi,2,5,4,50.0,0.001922613709
BrentSTEPqi,2,5,5,45.0,0.001670167183
BrentSTEPqi,2,10,1,101.0,0.006020721211
BrentSTEPqi,2,10,2,96.0,0.00911477144
BrentSTEPqi,2,10,3,86.0,0.008756935004
BrentSTEPqi,2,10,4,90.0,0.007275738507
BrentSTEPqi,2,10,5,96.0,0.009503035651
BrentSTEPqi,3,2,1,149.0,0.005451106594
BrentSTEPqi,3,2,2,134.0,0.00142768569
BrentSTEPqi,3,2,3,43.0,0.004786757187
BrentSTEPqi,3,2,4,52.0,5.412023063e-05
BrentSTEPqi,3,2,5,25.0,0.003142186304
BrentSTEPqi,3,3,1,117.0,0.0038752785
BrentSTEPqi,3,3,2,174.0,0.0001539741916
BrentSTEPqi,3,3,3,61.0,3.553367094e-07
BrentSTEPqi,3,3,4,175.0,0.001993124204
BrentSTEPqi,3,3,5,167.0,0.0006130658875
BrentSTEPqi,3,5,1,430.0,0.002787210581
BrentSTEPqi,3,5,2,303.0,0.003528785519
BrentSTEPqi,3,5,3,172.0,0.005174081027
BrentSTEPqi,3,5,4,366.0,8.1756254e-05
BrentSTEPqi,3,5,5,260.0,0.005304502343
BrentSTEPqi,3,10,1,747.0,0.007246268733
BrentSTEPqi,3,10,2,658.0,0.0002860444584
BrentSTEPqi,3,10,3,586.0,7.813300692e-05
BrentSTEPqi,3,10,4,576.0,0.001630606424
BrentSTEPqi,3,10,5,658.0,0.0009881776851
BrentSTEPqi,4,2,1,49.0,0.005159068599
BrentSTEPqi,4,2,2,153.0,0.0004361275271
BrentSTEPqi,4,2,3,127.0,1.489456423e-06
BrentSTEPqi,4,2,4,114.0,0.008896017347
BrentSTEPqi,4,2,5,51.0,0.008051779223
BrentSTEPqi,4,3,1,259.0,0.0009840882378
BrentSTEPqi,4,3,2,270.0,0.0004371374832
BrentSTEPqi,4,3,3,259.0,0.001891675704
BrentSTEPqi,4,3,4,240.0,0.0002487076064
