fid,mbse,Algorithm
1,0.0930952380952405,BSqi
2,0.0,BSqi
3,0.009202743919423662,BSqi
4,0.031314143938387995,BSqi
5,0.07490648674242434,BSqi
6,108544.38962746764,BSqi
7,73747.4117190837,BSqi
8,268019.4734576978,BSqi
9,63985.05643545996,BSqi
10,27107.940000000002,BSqi
11,277022.369489051,BSqi
12,34059.40156445353,BSqi
13,55579.52187799045,BSqi
14,1.6731415329438795,BSqi
15,76441.99859279518,BSqi
16,56022.02974739415,BSqi
17,32717.580408530033,BSqi
18,852127.9850000001,BSqi
19,1023633.1440236947,BSqi
20,731746.5136684488,BSqi
21,275534.55554133066,BSqi
22,27602.92505680355,BSqi
23,2583567.05278901,BSqi
24,9102073.196171911,BSqi
1,0.08311309523809662,BSrr
2,0.04210421202120712,BSrr
3,0.008275434243176116,BSrr
4,0.006558704453441366,BSrr
5,0.0738423295454545,BSrr
6,233821.4164044597,BSrr
7,72127.41611337618,BSrr
8,2886.335769715505,BSrr
9,60607.996212121245,BSrr
10,5669.220979020981,BSrr
11,287891.5047262772,BSrr
12,30372.832096902668,BSrr
13,66244.03618570465,BSrr
14,2.2566471120221334,BSrr
15,73806.25,BSrr
16,214390.2235903815,BSrr
17,37186.92327567521,BSrr
18,973237.2000000002,BSrr
19,1069625.0381126131,BSrr
20,802529.2345624431,BSrr
21,26.52330215290735,BSrr
22,26418.84477436581,BSrr
23,2127728.65,BSrr
24,6799974.2,BSrr
1,1.5434613095238103,CMA-CSA
2,2.515715553743605,CMA-CSA
3,103699.0610027552,CMA-CSA
4,850762.2449190281,CMA-CSA
5,0.5333617424242434,CMA-CSA
6,0.5252194870861482,CMA-CSA
7,0.029569377990430468,CMA-CSA
8,0.8276764961363412,CMA-CSA
9,0.9817413361473426,CMA-CSA
10,0.6196708845698917,CMA-CSA
11,0.6706021934435848,CMA-CSA
12,0.23224329246722553,CMA-CSA
13,0.38275994127734925,CMA-CSA
14,0.21386526486258717,CMA-CSA
15,0.17345372542238158,CMA-CSA
16,0.48005232041112644,CMA-CSA
17,0.29581506353541903,CMA-CSA
18,0.02032513765332522,CMA-CSA
19,8.317525615610467,CMA-CSA
20,0.26800289130422883,CMA-CSA
21,3.271838816641176,CMA-CSA
22,34071.05897940163,CMA-CSA
23,3.347376419539353,CMA-CSA
24,7265085.2250000015,CMA-CSA
1,0.04867559523809545,fmincon
2,0.6485597362359086,fmincon
3,384310.6032561008,fmincon
4,42483.786400061246,fmincon
5,0.5156841856060626,fmincon
6,0.02860660522170777,fmincon
7,86847.69899978826,fmincon
8,0.10461196901019859,fmincon
9,0.014220157751209994,fmincon
10,0.024879376601195324,fmincon
11,0.0071304417626646965,fmincon
12,0.05060722025660225,fmincon
13,0.0024070992789795853,fmincon
14,0.0,fmincon
15,102440.68192914769,fmincon
16,52741.36395475549,fmincon
17,42264.78210332106,fmincon
18,764982.3925000001,fmincon
19,1081890.7368568364,fmincon
20,700307.4616815811,fmincon
21,0.18968826770717273,fmincon
22,0.19188794293603362,fmincon
23,2101287.4563195123,fmincon
24,8863649.568636714,fmincon
1,0.013697916666665921,fminunc
2,2.45127058220767,fminunc
3,407920.3258643043,fminunc
4,44816.579099826304,fminunc
5,0.13141571969696986,fminunc
6,0.18429617217414263,fminunc
7,127971.22016042775,fminunc
8,0.0653270226432403,fminunc
9,0.036666666666666736,fminunc
10,0.6581154242676094,fminunc
11,6.299224543419524,fminunc
12,0.05375676259227191,fminunc
13,46.17376970114107,fminunc
14,0.08241219572104963,fminunc
15,75989.04027531293,fminunc
16,53085.8561722882,fminunc
17,40120.173795466515,fminunc
18,1175351.64875,fminunc
19,959288.5515380388,fminunc
20,1017368.1741394193,fminunc
21,0.1938643030609058,fminunc
22,0.036497628975671714,fminunc
23,2344344.61826237,fminunc
24,7541992.296255758,fminunc
1,0.0,HCMA
2,0.7943342554489486,HCMA
3,0.48643501567475755,HCMA
4,372.47378460195466,HCMA
5,0.15921401515151518,HCMA
6,0.5831701808418768,HCMA
7,0.046968759545637784,HCMA
8,0.591518195883106,HCMA
9,0.7316267800943077,HCMA
10,0.45289428591810427,HCMA
11,0.2733751323990683,HCMA
12,0.7457788255152062,HCMA
13,0.369189510609152,HCMA
14,0.1746309289802308,HCMA
15,0.13909148802762267,HCMA
16,0.2008286034833146,HCMA
17,0.45012076498110687,HCMA
