fid,dim,cm_angle.angle_mean,cm_angle.angle_sd,cm_angle.costs_runtime,cm_angle.dist_ctr2best_mean,cm_angle.dist_ctr2best_sd,cm_angle.dist_ctr2worst_mean,cm_angle.dist_ctr2worst_sd,cm_angle.y_ratio_best2worst_mean,cm_angle.y_ratio_best2worst_sd,disp.costs_runtime,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,ela_conv.additional_function_eval,ela_conv.conv_prob,ela_conv.costs_runtime,ela_conv.lin_dev_abs,ela_conv.lin_dev_orig,ela_conv.lin_prob,ela_curv.costs_fun_evals:,ela_curv.costs_runtime,ela_curv.grad_norm.lq,ela_curv.grad_norm.max,ela_curv.grad_norm.mean,ela_curv.grad_norm.med,ela_curv.grad_norm.min,ela_curv.grad_norm.nas,ela_curv.grad_norm.sd,ela_curv.grad_norm.uq,ela_curv.grad_scale.lq,ela_curv.grad_scale.max,ela_curv.grad_scale.mean,ela_curv.grad_scale.med,ela_curv.grad_scale.min,ela_curv.grad_scale.nas,ela_curv.grad_scale.sd,ela_curv.grad_scale.uq,ela_curv.hessian_cond.lq,ela_curv.hessian_cond.max,ela_curv.hessian_cond.mean,ela_curv.hessian_cond.med,ela_curv.hessian_cond.min,ela_curv.hessian_cond.nas,ela_curv.hessian_cond.sd,ela_curv.hessian_cond.uq,ela_distr.costs_runtime,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.costs_runtime,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_10,ela_level.mmce_qda_25,ela_level.mmce_qda_50,ela_local.additional_function_eval,ela_local.basin_sizes.avg_best,ela_local.basin_sizes.avg_non_best,ela_local.basin_sizes.avg_worst,ela_local.best2mean_contr.orig,ela_local.best2mean_contr.ratio,ela_local.costs_runtime,ela_local.fun_evals.lq,ela_local.fun_evals.max,ela_local.fun_evals.mean,ela_local.fun_evals.median,ela_local.fun_evals.min,ela_local.fun_evals.sd,ela_local.fun_evals.uq,ela_local.n_loc_opt.abs,ela_local.n_loc_opt.rel,ela_meta.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.costs_runtime,ic.eps_max,ic.eps_ratio,ic.eps_s,ic.h_max,ic.m0,iid,nbc.costs_runtime,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,nbc.nn_nb.sd_ratio,pca.costs_runtime,pca.expl_var.cor_init,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cov_x,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cov_x
1,2,153.60712260987805,21.811118475428724,0.050779,1.6130749088721872,0.4185099933548645,1.6492042205075366,0.2841862050766665,0.2991394577899585,0.166049495772511,0.002079,-4.441569659824385,-3.644953112410793,-3.2754678424175587,-2.5153053243096584,-4.350308820065794,-3.618891394303561,-3.212302291460174,-2.49087703317686,0.1563142611788467,0.307194743996078,0.3774237234020801,0.5218026286431358,0.1589805707694388,0.3082641119062813,0.3831879258142055,0.5217128121907872,1000.0,0.993,0.167877,5.4162156721169525,-5.4162156721169525,0.007,18200.0,0.27186,1.000000000000024,43.00279892867783,3.90213281991249,1.4816574967527247,1.0000000000000002,0.0,7.264294752057353,3.370466573871791,1.0000000000000258,28.285085077798676,3.816864359846935,1.577498436005793,1.0,0.0,5.709993780632799,3.848488911828496,1.0000000000000189,142.11377786478454,7.008513741938707,1.485119765807729,1.0000000000000002,0.0,24.88492145524174,3.615934571245091,0.008705,-0.0322364628605122,1.0,0.8360609325197711,0.2319,1.112582781456953,1.681592039800995,1.2543640897755617,0.0998217468805704,0.2091503267973856,0.149435531788473,0.0897207367795603,0.129827688651218,0.1200237670825906,1056.0,0.012037037037037,0.0123737373737373,0.0111111111111111,1.0000000000000004,0.1707317073170731,0.079669,9.0,12.0,9.66,9.0,9.0,1.2489995996796794,9.0,90.0,0.9,0.00909,0.7990174065996628,7.166218139051584,5.430473378784424,0.6661874246434069,4.894321971137562,0.7972485457803494,1.0,1.000000000000001,1.0,0.138823,2.6633327251749805,0.7257257257257255,1.2462462462462456,0.7473532338481723,0.4081632653061224,3.0,0.016969,0.3181577171402067,-0.2450875847223407,0.4969653278695322,0.7381854940721766,0.7204447823983098,0.006949,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6108454570003634,0.5221812961330375,0.9822427208794736,0.5221814356698217
1,3,116.24327276117484,30.27317215583312,0.09667,1.6772716606755365,0.4266832787867924,1.8307971354802024,0.3602541013806549,0.2492599810027752,0.1125315746487786,0.00246,-4.37787904101021,-4.178600496619596,-3.382090020365637,-2.475368706585672,-4.346842395213592,-4.292678695558058,-3.2993322953072086,-2.543174744039145,0.3423700107330019,0.3723049508675065,0.491550907123146,0.6281585944484751,0.3473576520681085,0.3554898825245866,0.5046326091353477,0.6181149620497056,1000.0,0.992,0.165858,8.372737769522951,-8.372737769522951,0.008,54300.0,0.498567,1.0000000000000395,153.70320678309528,10.243524784731225,2.1422019347664114,1.0000000000000009,0.0,26.28174021842937,5.464879800293213,1.0000000000000595,181.45004061282185,8.580066819278663,2.050684873511861,1.000000000000001,0.0,21.990115496278023,6.216900979759913,1.0000000000000329,147.2693597187933,6.502808627059545,2.359089543893647,1.0000000000000016,0.0,19.17258189555047,5.895330128058012,0.002904,-0.2588320025130803,1.0,0.6003360982076043,0.205019,1.7,1.6428571428571426,1.4615384615384617,0.1133333333333333,0.1933333333333333,0.1533333333333333,0.0666666666666666,0.1066666666666666,0.1266666666666666,2031.0,0.0074074074074074,0.0082491582491582,0.0074074074074074,1.000000000000001,0.1975308641975308,0.118363,12.0,16.0,12.64,12.0,12.0,1.4713368801077138,12.0,135.0,0.9,0.008891,0.7578453830496286,7.688410980857422,5.094631765805396,0.7793318293526056,15.204593318156835,0.7579175384267647,1.0,1.000000000000002,1.0,0.170978,2.920555512182745,0.6456456456456453,1.2462462462462456,0.7825380649453542,0.4324324324324324,3.0,0.013586,0.2654727021177478,-0.3216786216290225,0.5816136020941167,0.801677461113121,0.8558986516720419,0.0072,0.75,1.0,0.25,1.0,0.4682011433842085,0.360616118455518,0.9749204291915884,0.3603892907396391
1,5,134.92519768552643,26.042145315630922,0.0737245,1.6451732847738618,0.4225966360708284,1.7400006779938695,0.3222201532286607,0.27419971939636684,0.1392905352106448,0.003984,-4.586857308815059,-3.898694762154567,-3.2073860206145586,-2.093769411902195,-4.780988064669735,-3.931801096574066,-3.2851616901856997,-2.1290675243978487,0.4791743124292893,0.557313375276538,0.6358096803489169,0.7625408529242829,0.4596935806477299,0.5581022036404006,0.628429833796532,0.7607126545256881,1000.0,0.995,0.16925,13.85816345635182,-13.85816345635182,0.005,225500.0,1.381317,1.0000000000000977,586.1248341559702,16.944057631647382,5.037847709954332,1.0000000000000049,0.0,54.79618861657499,11.17580409452895,1.0000000000000973,777.1879937750424,18.24778286650593,4.339684542059933,1.0000000000000058,0.0,74.13080501605782,12.454100182473564,1.000000000000096,454.8186762750668,22.06390877588852,4.810596649522677,1.0000000000000064,0.0,56.90644261926631,13.976919494410431,0.109815,0.0257176641764682,1.0,0.4934865480158932,0.226152,1.2333099086437105,1.237635019897669,1.1998633413050903,0.0799866131191432,0.10809906291834,0.1560049722700325,0.0680340409256071,0.0919869956014534,0.1359246509848919,4803.0,0.0088888888888888,0.0049206349206349,0.0044444444444444,1.000000000000004,0.175,0.224918,18.0,24.0,18.312,18.0,18.0,1.3348344963066097,18.0,225.0,0.9,0.02469,0.8336357508654461,7.741902211672255,6.818552076010284,0.9748248970143742,47.41495309977285,0.841133437250332,1.0,1.000000000000003,1.0,0.234196,2.920555512182745,0.7457457457457454,1.2262262262262256,0.8237419608748577,0.4879032258064516,3.0,0.022516,0.2039834038929053,-0.3898062288224482,0.6259373070228854,0.8559541717620884,0.884775040061475,0.007456,0.8333333333333334,1.0,0.1666666666666666,1.0,0.3296340779250835,0.2361462891425515,0.978495200893619,0.2361613725889295
1,10,134.92519768552643,26.042145315630922,0.0737245,1.6451732847738618,0.4225966360708284,1.7400006779938695,0.3222201532286607,0.27419971939636684,0.1392905352106448,0.010866,-4.22090871952121,-3.444028266286315,-2.8817236348696955,-1.7116004235197213,-4.116789561941475,-3.468265055950532,-2.8433582597817875,-1.710990546799442,0.6673896589787224,0.7286081624418381,0.7728576082182875,0.8651207572984513,0.6765820549476901,0.7273677686267424,0.7764902351889487,0.8655030215086493,1000.0,0.997,0.168233,27.530253909267348,-27.530253909267348,0.003,1651000.0,7.484916,1.000000000000218,5559.896361063667,58.92210479272043,9.176614249049122,1.000000000000017,0.0,363.749366348044,26.939566960319397,1.000000000000211,2217.3951561209,46.77842048065308,10.302222436016956,1.0000000000000209,0.0,169.2558734884313,29.52709072824449,1.0000000000001952,20223.91728698447,138.99090753653255,10.10938800386846,1.0000000000000222,0.0,1300.029915020765,25.83458949178075,0.100592,-0.1221407188829819,1.0,0.3236815763804918,0.23385,0.9499323410013532,1.1449982572324853,1.082234673698088,0.0759685448380347,0.157997258495058,0.1620133227520862,0.0839525767741625,0.1379890820768102,0.1480412668638626,17082.0,0.02,0.0024300915614946,0.0022222222222222,1.000000000000007,0.1482982171799027,0.59146,33.0,44.0,33.264,33.0,33.0,1.6852251979886466,33.0,450.0,0.9,0.437283,0.7546714884408487,7.72950307992452,106.5604851063408,0.0535555625732457,107.37547096402622,0.7632708890653692,1.0,1.0000000000000056,1.0,0.397583,2.4287643824604506,0.6256256256256253,1.1861861861861855,0.8522953613351145,0.5622489959839357,3.0,0.059412,0.1063721813921123,-0.462144171786825,0.7051446601345964,0.934985905925256,0.960386919798489,0.008067,0.8181818181818182,0.9,0.0909090909090909,0.9,0.1698975776264672,0.1252385381716997,0.9661915955305777,0.12523130717434
2,2,138.73110030564465,27.658841045841765,0.050582,1.5615891425517598,0.4565418079969577,1.6836300441040697,0.2953811377490521,0.3047160039031751,0.2318273433345687,0.00206,-4.658949249620896,-1.7285364064711897,-1.6323045528101483,-1.6206269780934943,-4.5657570975987305,-2.057324562001036,-1.9570813201468893,-1.9484222155717208,0.1135397114756606,0.6703540666112143,0.6883027894909319,0.6912689219386055,0.1155893076819027,0.5954394197841063,0.6214534155692513,0.6231282945982498,1000.0,0.916,0.167163,3015491.847087554,-2734525.217747204,0.007,18200.0,0.267729,366407.98277436045,54790494.26283909,5147161.822002727,1024116.796298401,13388.690556924052,0.0,8607588.123929443,2879887.948932472,499038.5218751957,258418291.58192632,8796054.125089636,1443913.50777563,9796.109474677876,0.0,36856624.36353562,2844482.1795469904,480585.0709653719,208795483.41054612,5685830.442793621,1320228.2553906166,24839.00575054366,0.0,21081956.382562883,3537274.7064380413,0.002612,-0.4522897915826731,1.0,0.8591754656060613,0.194287,2.0,2.1541085946573753,0.6633663366336633,0.0998217468805704,0.2498514557338086,0.0199049316696375,0.0600118835412953,0.0505050505050505,0.0300059417706476,9954.0,0.0111111111111111,0.0123595505617977,0.0111111111111111,1.0001890461668717,0.0321177056703362,0.479466,79.5,192.0,98.64,108.0,30.0,37.558632950240735,120.75,90.0,0.9,0.00864,0.8128002863994149,4917016.866593831,22.623237887986992,192338.73122876824,14298437.468154814,0.8153740237970164,0.997625511471644,100.0713510754565,0.9981162277602224,0.176568,1553070.5739334584,6.35135135135135,7.212212212212211,0.6924296076704387,0.3673469387755102,3.0,0.015653,0.3404355452606041,-0.2070319567055916,0.3221661648103033,0.6817262508367317,0.4256446245689532,0.007061,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6401009497049502,0.5304731705610971,0.9999999999999616,0.5304739208581033
2,3,116.75648356044324,28.910372074615548,0.097186,1.6832552200926496,0.4172459772484072,1.809417527997584,0.4227105423868627,0.3166073734211646,0.201419777775925,0.002562,-1.9984350180414348,-1.6048318644849546,-1.5862737086428955,-1.1657827960078144,-2.143946402904027,-1.7141619936944492,-1.4629593077754182,-1.257931276183312,0.7000585552157788,0.7589722515697372,0.7613721166158045,0.8246278182754145,0.6795405244002445,0.743781163163273,0.7817888362081602,0.8129920313206652,1000.0,0.928,0.16791,2632309.8530617254,-2620571.715795161,0.006,54300.0,0.533444,405260.82688773365,154092729.09308305,4720531.258032902,1008319.112428624,5734.580755176479,0.0,15221712.404251672,2427827.112536247,422303.3593357216,47886061.06886496,2869786.653920403,978451.3092096056,7878.871585935427,0.0,6811068.625672547,2335964.2394750635,436305.5858506156,257627252.72935247,8235626.472445099,987266.9877566716,10109.163503907244,0.0,32796332.94018409,2945849.137852832,0.006219,-0.1010012308680972,1.0,1.0346107898653687,0.194183,1.777777777777778,2.2500000000000004,1.9090909090909087,0.1,0.3,0.2666666666666666,0.06,0.12,0.1266666666666666,31107.0,0.0148148148148148,0.0081813156440022,0.0074074074074074,1.0000075711339806,0.0178266263992479,1.190021,176.0,372.0,206.48,206.0,88.0,54.68696518434557,240.0,135.0,0.9,0.008988,0.5120916498741104,2390334.8850253318,37.180585544500126,35303.389000881696,9670644.448930277,0.5116391635374907,0.9968905994294448,521.6362268029887,0.9982167778216344,0.222364,935343.1520292376,6.21121121121121,6.89189189189189,0.7659054857116842,0.4391891891891892,3.0,0.019032,0.2675741759203934,-0.3012945559969222,0.5114827594896504,0.7765519898963018,0.5990697010223397,0.007039,0.75,1.0,0.25,1.0,0.4349672481663396,0.369701097992741,0.9999999999997874,0.369636366484417
2,5,127.74379193304395,28.284606560228656,0.073884,1.6224221813222046,0.4368938926226824,1.746523786050827,0.35904584006795737,0.3106616886621698,0.21662356055524684,0.003949,-1.838366594255564,-2.1227056422124244,-1.8344833984582565,-1.071165368244019,-1.8691204546070423,-2.277814947889232,-1.8279306965712712,-1.1335326230026554,0.7910675274205206,0.7588854093584471,0.7919139175922283,0.8784469312977274,0.7879842140702082,0.7434494918823629,0.7941199966907975,0.8721710270913798,1000.0,0.959,0.169384,2971915.5339248204,-2967191.653519092,0.002,225500.0,1.558598,524700.985534306,491109875.7898836,6010131.344319299,1208671.389041409,6479.566409685126,0.0,33688399.52539589,2752015.858032109,384276.3918800209,160242630.43927598,5003541.585905848,1090171.7232122377,11538.71961194001,0.0,17981238.71648267,2628022.3140339465,410913.7885143207,375145576.3331967,8563816.360033976,1038548.9789594226,8822.50502845765,0.0,35723479.206563465,3165171.7893167045,0.02424,-0.6824706621530017,2.0,0.8499600479427929,0.231059,1.7344497607655502,2.052387267904509,1.1505086774386597,0.1079078217632434,0.2520080321285141,0.1838305603365844,0.0599541021227768,0.1079078217632434,0.1398450946643717,142839.0,0.0088888888888888,0.0049206349206349,0.0044444444444444,1.0000175918225576,0.0084488609391043,4.182442,486.0,912.0,570.456,564.0,264.0,122.36127192649592,640.5,225.0,0.9,0.017331,0.6597819252263364,3240538.106975342,153.59681825267955,42019.86398524557,11346423.131665038,0.663537810818978,0.998132576494198,525.0851179889482,0.9985017104336622,0.315577,490558.37063650455,6.251251251251251,6.89189189189189,0.7626544128575679,0.5,3.0,0.028334,0.2039174075973656,-0.3587373766449298,0.4734842249069341,0.8387761263194722,0.6721389251865865,0.007506,0.8333333333333334,1.0,0.1666666666666666,1.0,0.3055313829729963,0.2344754972891007,0.999999999999727,0.2344731220634608
2,10,127.74379193304395,28.284606560228656,0.073884,1.6224221813222046,0.4368938926226824,1.746523786050827,0.35904584006795737,0.3106616886621698,0.21662356055524684,0.010511,-1.8110682913414544,-1.501274318495513,-1.3248072907104227,-0.8706426309907052,-1.8737519900249195,-1.5727597158590818,-1.2305221263843222,-0.8597280805164829,0.8572130291687358,0.8816229013861941,0.8955849393209171,0.931380055210942,0.8525078614160064,0.8761939232392293,0.9031986149777854,0.9323266185326898,1000.0,0.989,0.171741,3354874.0187797933,-3354725.6730209,0.002,1651000.0,9.492593,602024.0901691094,256509507.67753744,6075885.305700271,1483821.521393904,40961.39939778392,0.0,21698323.817553323,3524566.017744534,594254.1786939249,1322861396.4426472,13331671.879349338,1309563.7998873794,19338.378929385235,0.0,96268527.60836902,4011785.311106362,631542.8750428619,275345546.1784008,6573937.780431702,1359572.1489554124,34408.7714365444,0.0,24113140.366918344,3800224.274259565,0.104462,-0.3405988769438677,2.0,0.9175333383237492,0.23417,1.2662658650634604,1.440877332625807,0.947850821744627,0.0999927855133107,0.1958973619027006,0.0379842724190173,0.079996633239545,0.1279849938676863,0.0560084649977154,2692711.0,0.0377777777777777,0.0023904974016332,0.0022222222222222,1.0000517549508536,0.0094660013578776,56.692089,4268.0,9922.0,5384.522,5461.5,1804.0,1462.4702411661556,6426.75,450.0,0.9,0.420114,0.8087618689565167,4726113.413042548,466.95992106842726,3429.166890781664,16635670.228465958,0.8008488924680655,0.9982111791381748,1314.9758843738468,0.9986509589817764,0.542836,468458.0115873045,6.05105105105105,6.73173173173173,0.806733493437266,0.5742971887550201,3.0,0.066798,0.1261822954957614,-0.3557315614990122,0.5827634901274557,0.910870002960148,0.8024378823363322,0.008016,0.8181818181818182,0.9,0.0909090909090909,0.9,0.1738853706495716,0.1203900420384394,0.9999999999996672,0.1203901143232114
3,2,135.5866285958588,28.13516205033541,0.049997,1.5271257800439746,0.3756164760998896,1.7481320981867656,0.3319496989728067,0.3236047848435951,0.3402800122576104,0.002054,-4.100628812320719,-3.047421008269873,-3.3337302757579543,-2.125285467097748,-4.009620894228451,-3.114863243087584,-3.307360905199535,-2.410594837863406,0.2189152795392448,0.4193743440083392,0.3648237893588067,0.5957571994742299,0.2227308715077258,0.3961805611567224,0.3596659094862089,0.5332876884788059,1000.0,0.855,0.174218,104.93811121891228,-102.88975409785408,0.011,18200.0,0.273113,2.6538941289163063,1016.639026520914,23.7567259422096,5.82439623754528,1.0511176125977564,0.0,117.2305170055983,13.656058303558655,2.375409608747464,1573.6820697025962,38.68239248026774,5.701391925439031,1.0258337000144986,0.0,185.1792960641348,15.746481767274624,2.0547784641578195,406.95995127471457,24.49720835112268,6.364369532035801,1.0337757670130785,0.0,43.187747772411456,17.299198512065026,0.00291,3.1792428716572463,1.0,2.015031633094765,0.168112,1.5018587360594795,2.1658415841584158,1.2071651090342677,0.1099227569815805,0.2599524658348187,0.2302436125965537,0.0796197266785502,0.1197266785502079,0.1500297088532382,4809.0,0.0111111111111111,0.0123595505617977,0.0111111111111111,0.5480315601096137,0.1319701338101156,0.245947,36.0,96.0,47.19,43.5,21.0,16.020895446543896,54.0,90.0,0.9,0.008944,0.4898312999170313,102.39589224005869,14.73026694395391,8.7073854241232,373.8622293051321,0.4891942614694861,0.9079853009238384,25.882435858508057,0.9865013499197453,0.147986,21.699597883280106,1.4864864864864866,2.907907907907908,0.7415544884082206,0.4591836734693877,3.0,0.017051,0.3528633292045955,-0.2254986356363835,0.4206480862533857,0.6983981550443228,0.5847208429469309,0.007017,0.6666666666666666,1.0,0.3333333333333333,1.0,0.575269718050251,0.56572593247161,0.9999284816611708,0.5657262570851418
3,3,114.5219037800598,34.45301829210459,0.096146,1.73163632401029,0.4147818217311294,1.8565675753817936,0.4196689587367571,0.2472049204238695,0.1752527264610681,0.002487,-3.882488324672436,-3.710862217294996,-3.0627641615575567,-1.9755599936719743,-2.8505638296312537,-3.714999484601568,-3.2552769494606726,-2.126373199628896,0.41542222695767,0.4413890969025368,0.5389498843992775,0.7031423280555412,0.5679927150133143,0.4399801714037522,0.509281321080506,0.6787916621366445,1000.0,0.875,0.169996,59.80203208004446,-57.60057930294786,0.007,54300.0,0.541688,3.9351016157355554,752.0713271861993,33.10347800863028,7.728248862062256,1.1943158626279036,0.0,94.6354137271678,16.143123379468033,4.187880612141746,1885.734671738772,68.06337837456933,7.89704724936821,1.1882162113122825,0.0,254.9301899261218,21.33243428326142,3.7139820833802752,487.93826856904775,31.04570458541245,8.44466763667934,1.361789530889856,0.0,68.8268379199119,23.245445379159424,0.005153,1.1596800806547645,1.0,0.9880092856967008,0.175629,1.3333333333333337,1.5200000000000002,1.3157894736842104,0.1,0.2066666666666667,0.1933333333333333,0.08,0.1466666666666667,0.1266666666666666,11395.0,0.0074074074074074,0.0081813156440022,0.0074074074074074,0.4976137517344794,0.1861096230657924,0.477894,56.0,176.0,75.06666666666666,72.0,32.0,27.04772482750664,88.0,135.0,0.9,0.009493,0.5714655446954886,41.34983384971553,8.90450606376446,4.643697646294209,352.641110519789,0.5650998399204585,0.9534741341616384,9.373165208332743,0.9879323417945448,0.181523,16.07704421673822,1.6066066066066067,2.287287287287288,0.7877049656900708,0.5135135135135135,3.0,0.016789,0.2758144128966506,-0.2957461728395756,0.4740060231073557,0.7767101206103466,0.748538027848738,0.007055,0.75,1.0,0.25,1.0,0.4398814586409504,0.3827450482137496,0.9993738335794928,0.3828162439287406
