fid,dim,iid,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_level.costs_runtime,ela_local.n_loc_opt.abs,ela_local.n_loc_opt.rel,ela_local.best2mean_contr.orig,ela_local.best2mean_contr.ratio,ela_local.basin_sizes.avg_best,ela_local.basin_sizes.avg_non_best,ela_local.basin_sizes.avg_worst,ela_local.fun_evals.min,ela_local.fun_evals.lq,ela_local.fun_evals.mean,ela_local.fun_evals.median,ela_local.fun_evals.uq,ela_local.fun_evals.max,ela_local.fun_evals.sd,ela_local.additional_function_eval,ela_local.costs_runtime,ela_curv.grad_norm.min,ela_curv.grad_norm.lq,ela_curv.grad_norm.mean,ela_curv.grad_norm.med,ela_curv.grad_norm.uq,ela_curv.grad_norm.max,ela_curv.grad_norm.sd,ela_curv.grad_norm.nas,ela_curv.grad_scale.min,ela_curv.grad_scale.lq,ela_curv.grad_scale.mean,ela_curv.grad_scale.med,ela_curv.grad_scale.uq,ela_curv.grad_scale.max,ela_curv.grad_scale.sd,ela_curv.grad_scale.nas,ela_curv.hessian_cond.min,ela_curv.hessian_cond.lq,ela_curv.hessian_cond.mean,ela_curv.hessian_cond.med,ela_curv.hessian_cond.uq,ela_curv.hessian_cond.max,ela_curv.hessian_cond.sd,ela_curv.hessian_cond.nas,ela_curv.costs_fun_evals:,ela_curv.costs_runtime,ela_conv.conv_prob,ela_conv.lin_prob,ela_conv.lin_dev_orig,ela_conv.lin_dev_abs,ela_conv.additional_function_eval,ela_conv.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init,pca.costs_runtime,cm_angle.dist_ctr2best_mean,cm_angle.dist_ctr2best_sd,cm_angle.dist_ctr2worst_mean,cm_angle.dist_ctr2worst_sd,cm_angle.angle_mean,cm_angle.angle_sd,cm_angle.y_ratio_best2worst_mean,cm_angle.y_ratio_best2worst_sd,cm_angle.costs_runtime
1,2,1,0.3126190236713935,0.32064377095728813,0.011334272071788758,0.046193198811729466,4.0755329075526,0.30586645288015124,1.0,1.0000000000000002,1.0,0.009848,0.988365045144586,0.3147762660553175,1,0.00323,0.0998217468805704,0.0998217468805704,1.0,0.28015448603683896,0.19013666072489602,1.4734375,0.3193701723113488,0.16013071895424838,1.99443413729128,0.23675,90,0.9,0.9999999999999977,0.16455696202531644,0.011111111111111112,0.012359550561797751,0.011111111111111112,9,9.0,10.56,12.0,12.0,12,1.506350194706035,1146,0.078765,1.0,1.0000000000000175,6.554557859813998,1.4475398809295208,2.624343655928375,157.84164371495356,22.62275731819891,0.0,1.0,1.0000000000000289,2.5918486674886316,1.347965496426604,2.7822907437278523,17.747920346292638,2.9768908342991742,0.0,1.0000000000000007,1.0000000000000093,3.8501344386811387,1.376588955692983,3.11347547330506,52.9122353946318,8.372090603089033,0.0,18200,0.262462,0.0,0.0,91.30975129573268,91.30975129573268,1000,0.172017,0.2116214983261329,0.18136857382252933,0.332599096702821,0.49917576959498783,0.21579411162832826,0.19339331791369618,0.33222223909435133,0.49275447353349006,-4.132420348653366,-4.290996211084331,-3.4982956379952244,-2.625155602835659,-4.031066961570914,-4.146214145231465,-3.4325894635246152,-2.607402868893908,0.0022,0.7830609368533399,-0.5955955955955953,0.04827070965603183,-1.0760760760760761,0.4489795918367347,0.135962,0.8240478526247121,0.753038796522289,0.5833134587284191,0.32872949955434005,-0.32609549994403664,0.01738,1.0,1.0,0.6666666666666666,1.0,0.5183640195012447,0.5183611634207568,0.5174175035073584,0.5289862489762153,0.007172,1.5998549681659127,0.40546174571327814,1.7737647424679008,0.14519945678429896,148.58374793366335,28.95727033543491,0.4180315627259216,0.18656145349125808,0.052161
1,2,2,0.8873793162858596,0.3516926359057927,0.05345442867077693,0.07018919189880733,1.3130659824483195,0.8869686678025852,1.0,1.0000000000000002,1.0,0.008749,0.5204930781575853,-0.7202215101177845,1,0.002635,0.0796197266785502,0.10041592394533572,0.7928994082840236,0.10011883541295306,0.0701128936423054,1.4279661016949154,0.06981580510992276,0.06981580510992276,1.0,0.238971,90,0.9,0.999999999999996,0.15819209039548024,0.011111111111111112,0.012373737373737375,0.011111111111111112,9,9.0,9.15,9.0,9.0,12,0.657128740672771,1005,0.072589,1.000000000000001,1.0000000000000275,3.183932705287218,1.7414111349000359,3.60222660500603,15.849664998350885,3.3101524784734466,0.0,1.0000000000000002,1.000000000000033,7.043160025039116,1.6360119047828585,4.136279123269609,74.45900469339075,14.192714649050533,0.0,1.0000000000000002,1.000000000000067,6.9373505107913225,1.812509550592692,3.463225511243865,83.08537225802982,14.217085357390614,0.0,18200,0.262162,0.0,0.0,428.89018947888457,428.89018947888457,1000,0.168364,0.3415207765952055,0.30036545847247326,0.43498102457140575,0.5473558697478235,0.34345632689283845,0.2663263496126189,0.46277190364164716,0.5639443175979172,-3.461859605196103,-3.6782277581826053,-2.970505822631089,-2.3797112715974627,-3.4322317430583325,-3.8354462849176496,-2.80848236166458,-2.279580500408094,0.002111,0.7985626059651563,-0.7757757757757754,0.022566733647132898,-1.276276276276276,0.4897959183673469,0.145381,0.7008323113453374,0.7077581380070186,0.6069994875299203,0.34458392531985615,-0.26331479574321903,0.01598,1.0,1.0,0.6666666666666666,0.6666666666666666,0.552572257650421,0.5525718702199993,0.5504861895292652,0.6156522804523906,0.007352,1.5795198186773436,0.1601293152750035,1.5653578127825665,0.27937835875012157,153.10898679540588,14.343185455953437,0.28398833271474877,0.11794129058096792,0.051485
1,2,3,0.8321603787195554,0.3376317306351613,0.003545693459296773,0.0836604024234665,23.59493379330629,0.8339729506022275,1.0,1.0000000000000004,1.0,0.008626,0.6463483203652278,-0.5873113184348346,1,0.004917,0.09001782531194295,0.0398098633392751,2.261194029850746,0.16934046345811052,0.0600118835412953,2.821782178217822,0.08972073677956031,0.07991681521093286,1.1226765799256506,0.18373,90,0.9,1.0000000000000022,0.24390243902439024,0.018518518518518517,0.012132822477650062,0.011111111111111112,9,9.0,9.66,9.0,9.0,12,1.2489995996796794,1056,0.07525,1.0000000000000004,1.0000000000000386,4.371841694310014,1.53843638349462,2.9439320398772115,92.80444126045067,12.928610539111599,0.0,1.0000000000000004,1.0000000000000362,3.8668444446784047,1.4452158637644719,2.866038696188157,70.19435614373386,9.925971967445182,0.0,1.0000000000000004,1.0000000000000284,7.91923572768846,1.3009829072753933,2.9307781078678254,113.3929586004138,20.563339000792077,0.0,18200,0.2589,1.0,0.0,-222.27600481088245,222.27600481088245,1000,0.174406,0.1514687014757953,0.21537218918002024,0.2790622273403719,0.47470867481810897,0.15277688866048192,0.23952395145752953,0.26643294936491546,0.48187335563218475,-4.4682882848458645,-4.13177835767382,-3.7963924362962045,-2.766136120757895,-4.423197733248306,-3.9703070998433763,-3.829820117188066,-2.7050449500602207,0.002145,0.6922568020436713,-0.6956956956956954,0.023631360366781505,-1.276276276276276,0.35714285714285715,0.124492,0.7554730094886237,0.7703752914003276,0.5677011359148353,0.29091033268526,-0.28474150633884543,0.012939,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5021273879259458,0.5021218516440581,0.5026142905539782,0.6381547233394469,0.007072,1.501373322416999,0.527751434508921,1.634969843698907,0.2945332860591299,151.3929502434807,40.87689687328433,0.32580978287328427,0.1666066378320055,0.050369
1,2,4,0.31670615166298344,0.3144229626743873,0.011851216933472217,0.04742368786154349,4.001588033343771,0.32150342742039717,1.0,1.0000000000000007,1.0,0.008692,0.8059400493211212,-0.22364893300333266,1,0.006332,0.0998217468805704,0.0796197266785502,1.253731343283582,0.28906714200831846,0.16963755199049316,1.704028021015762,0.26024955436720143,0.1405228758169935,1.852008456659619,0.17471,90,0.9,1.0000000000000029,0.2191780821917808,0.025925925925925925,0.011877394636015321,0.011111111111111112,9,9.0,10.41,9.0,12.0,12,1.5048406741397755,1131,0.076985,1.0000000000000002,1.0000000000000244,3.09507594725748,1.4648435299918992,2.175209415432345,32.67216726673247,5.615964292932242,0.0,1.0,1.0000000000000202,3.85651349943149,1.3791895691967047,2.7744838229131044,37.07588347946195,7.339082945857458,0.0,1.0000000000000004,1.0000000000000158,8.344306184453744,1.4233921002488321,2.8692219244826993,217.48420405739358,33.10470162823762,0.0,18200,0.263283,1.0,0.0,-138.96752208130485,138.96752208130485,1000,0.164206,0.07146850929745173,0.23192943420124598,0.301078473644336,0.4697493155668794,0.07323366763291363,0.2426870053295081,0.3065349942027837,0.48279660014930403,-4.866684665652482,-4.02566556130864,-3.6632367441150935,-2.779187244290324,-4.7403538054731555,-3.8736102195807742,-3.5470316134566175,-2.6454641467432882,0.002048,0.6385498577329791,-0.6356356356356354,0.03495775574363275,-1.1761761761761762,0.30612244897959184,0.122659,0.6512861781680667,0.7383481909225483,0.4751985934698208,0.32131466940985187,-0.3313860430599022,0.015622,1.0,1.0,0.6666666666666666,1.0,0.5133610414819356,0.513360519359744,0.5118755215785775,0.5220914860087712,0.007101,1.4990781746181439,0.4644080325031848,1.7097547297672617,0.28933204202574514,149.4288285254004,20.38964867104648,0.40124919030874506,0.16758643281295696,0.050996
1,2,5,0.8314383083008986,0.32993635085856704,0.016106833808866995,0.0794021264571164,4.929716628317394,0.8350181927022613,1.0,1.0000000000000004,1.0,0.008608,0.6531447262588601,-0.6931857537371693,1,0.002508,0.10962566844919786,0.029708853238265002,3.69,0.15953654188948307,0.10962566844919787,1.4552845528455285,0.16934046345811052,0.13903743315508021,1.217948717948718,0.177598,90,0.9,1.0000000000000007,0.08695652173913043,0.013492063492063487,0.012134502923976607,0.011111111111111112,9,9.0,9.45,9.0,9.0,12,1.07661084384791,1035,0.074285,1.0000000000000002,1.0000000000000067,3.8423388298012418,1.3621524631624697,3.5384772500804766,42.062980552241186,7.221110270210864,0.0,1.0000000000000002,1.000000000000005,4.442689560096884,1.7211048652439005,3.2156482838529015,96.68051522994061,13.426636162120664,0.0,1.0,1.0000000000000075,5.231733885800524,1.3246511348645953,3.1140285339126574,85.26472117212933,13.561820958429074,0.0,18200,0.259298,0.605,0.0,-1.4489911603170287,16.253686594588828,1000,0.165944,0.1773775218061906,0.21201674640720639,0.26773535860456604,0.4813474148202873,0.18040779820890188,0.18450956136234495,0.2588971576177236,0.4783648933077995,-4.324476794249374,-4.142380477981934,-3.849471091425525,-2.7265253847812896,-4.236176950262775,-4.2149764135957835,-3.8304937160373607,-2.6961440220981903,0.002101,0.681953752621886,-0.6756756756756753,0.025316484786313556,-1.356356356356356,0.35714285714285715,0.126607,0.7390899177058126,0.7569780041843233,0.6045949763851505,0.2882485570753404,-0.27383654356935677,0.012898,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5783893780860153,0.5783880991217824,0.578638953143906,0.6690022237285325,0.00754,1.5028202619551472,0.3223193458668891,1.6001327020101064,0.4920388095993917,152.99849149262167,18.660020598541568,0.2921489406271442,0.15012896180166913,0.051114
2,2,1,0.08639033370319982,0.3128224023133215,0.004690694441227479,0.031034271454715066,6.616135807514655,0.0932518416502085,0.997916771845649,233.98758630249435,0.9980628107415804,0.009047,0.7385899836852295,-0.6300688885428589,1,0.006364,0.0998217468805704,0.06981580510992276,1.429787234042553,0.24985145573380865,0.1402257872846108,1.7817796610169492,0.47920380273321445,0.11972667855020798,4.002481389578163,0.177881,90,0.9,1.0001817452080977,0.018587549226737093,0.011111111111111112,0.012359550561797751,0.011111111111111112,24,86.25,98.94,106.5,120.75,216,36.304219639545536,9984,0.46861,2094.6544909411887,387547.3706972185,8921006.625423646,1008212.988621861,1990507.7478150623,709053516.184765,70771736.72723632,0.0,4392.276160410373,359963.93759877386,3100201.004250267,972035.3648216751,2318741.776211856,52328389.13412646,7189272.8773084115,0.0,26585.877168706702,427259.4922866241,3771950.201048376,1011347.6824822839,2384527.991995032,65411516.8516046,8355324.487753988,0.0,18200,0.264871,0.005,0.0,6092830.316717285,6092831.600862944,1000,0.167258,0.379478046594779,0.5420766741389992,0.6188958620591242,0.704044971756749,0.3857821687653288,0.4252531621493973,0.5088557618669665,0.6420501816006672,-3.258647660676274,-2.404767093891338,-2.0013540226256787,-1.5541966809681225,-3.1728327559018745,-2.9689395207197933,-2.5370779670927206,-1.8490425562924004,0.002029,0.7072371044781762,-0.4954954954954953,0.08015006961565405,-0.8358358358358354,0.35714285714285715,0.131159,0.523823076979147,0.6840226653213373,0.45772803868846634,0.350550117897841,-0.294637044890945,0.015293,1.0,1.0,0.6666666666666666,1.0,0.5494655147233501,0.5494655121314532,0.5471737556270677,0.4546032468868195,0.007068,1.3846808710855116,0.4844066778594808,1.6989907770252468,0.2439145334941599,138.7641169541157,33.22631454291196,0.5206411838315412,0.3105890316902319,0.050277
2,2,2,0.8191317815921599,0.2725700291103312,0.007089322712673593,0.09132470543691196,12.882007088441698,0.8202033797373428,0.9984009996618826,16148.846753328962,0.9993822469214253,0.008589,0.9190741118463592,-0.44906357163124344,1,0.003021,0.0998217468805704,0.08021390374331551,1.2444444444444442,0.24925727866904338,0.07932263814616757,3.142322097378277,0.010101010101010102,0.010101010101010102,1.0,0.18445,90,0.9,1.0002985783437204,0.05449926084364601,0.011111111111111112,0.012359550561797755,0.011111111111111112,24,78.0,96.69,105.0,123.0,177,37.20423973884501,9759,0.459195,8541.07720393568,452624.9350237237,5221871.228585158,976355.4933473477,1805797.791507203,157118582.6265886,18508988.962306928,0.0,29494.11178803531,428914.46278844064,5365654.752926855,1031178.6063068989,3604711.760295041,103650276.37585677,13364762.279507857,0.0,2663.481344669217,415195.85923864547,27569733.501611196,1660130.3903783972,3433294.0346160894,2010816372.3258054,201560373.5984007,0.0,18200,0.268897,0.004,0.0,12317065.30833868,12317065.83702292,1000,0.173645,1.3056634037951964,0.9255065593704337,0.8177799979717275,0.7666098772787732,1.3318073809380095,1.1610953896000449,1.0266458789198936,0.6523068028110243,1.6068858183474033,-0.3916152598619842,-0.9579384821437618,-1.226942033905968,1.7100839442735296,0.830260732816531,0.13732874052756383,-1.791956985300101,0.002018,0.7075457992897046,-0.6356356356356354,0.025913660402699473,-1.276276276276276,0.3469387755102041,0.123656,0.3831714827404121,0.6596100804680582,0.2702432249868822,0.35573298350287386,-0.1834170647717554,0.015617,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5062623224425252,0.5061642502487914,0.5061067698654272,0.6363964839032872,0.00703,1.8024181664716283,0.28332153613757205,1.6156310410409291,0.3846886188468194,138.76027941965702,28.761386408270834,0.2934386938673367,0.18351610324610204,0.050458
2,2,3,0.8861167484069705,0.28394964497356806,0.0036091092470839897,0.09462975964463358,26.219699423366166,0.8903274516716795,0.9977935761173276,92.72292500287887,0.9981954485303739,0.008801,0.8465667286792091,-0.4742058128073192,1,0.003,0.1402257872846108,0.010101010101010102,13.882352941176467,0.029708853238265002,0.030005941770647655,0.99009900990099,0.029708853238265002,0.029708853238265002,1.0,0.187518,90,0.9,1.0001778303610915,0.030704406194917603,0.011111111111111112,0.012359550561797755,0.011111111111111112,30,93.0,107.1,112.5,129.0,258,39.0,10800,0.510069,1246.3992011159921,463719.4966721082,4784486.425645877,1633960.6251446467,3825751.353453608,61843897.082496576,10630203.730166111,0.0,27537.17304320626,394895.31150199444,4508613.468107224,1375642.2539231228,2806536.653255261,90729802.00937958,12417946.95265602,0.0,25043.855957144613,558798.2071528656,20830817.345424064,1423020.3325527604,2635511.5381392557,840691469.6309435,118103060.74455933,0.0,18200,0.264035,0.001,0.0,17015932.200405225,17015932.29316835,1000,0.170386,1.604691134239416,0.9032573889905907,0.6650211967317459,0.7122182052254552,1.651423538391699,1.0577546354828031,0.5565480519137488,0.6103910868444533,3.1758377981668833,-0.5080921868045651,-1.759308653238536,-1.5114299676625387,3.3244602308129103,0.2947437074222279,-2.263102695565781,-1.9883213624022162,0.002053,0.651896075325339,-0.5355355355355353,0.02776153294436801,-1.4764764764764762,0.3979591836734694,0.122486,0.3057568323234817,0.6360261050713168,0.15931538003822074,0.37393335483270845,-0.1692018119482146,0.015217,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5527397771234992,0.5527325610896868,0.5522772631636235,0.6522728734469643,0.007065,1.5012807504057735,0.5308738446144875,1.714121246729305,0.37721388097568603,141.49968221509525,31.226571668699837,0.2867292402229013,0.2274057359994467,0.049982
2,2,4,0.7451132977987787,0.24385293102276234,1.2518118807207563e-05,0.08439925055927913,6742.1672424681365,0.7490782863388947,0.9972166486132957,181.31557108578403,0.9988562830117943,0.008653,1.1746239010592485,0.17193530976747073,1,0.002523,0.0998217468805704,0.05971479500891266,1.6716417910447756,0.3095662507427213,0.08051099227569816,3.8450184501845013,0.010101010101010102,0.010101010101010102,1.0,0.231045,90,0.9,0.9995968209051606,0.063960754701139,0.011111111111111112,0.012359550561797755,0.011111111111111112,21,45.0,88.47,99.0,120.0,153,39.907837006601284,8937,0.416784,2734.9140128515246,419768.2448434756,2669413.7970612566,1275604.8400504242,2918149.304728547,44163113.89326202,4999911.76641042,0.0,29953.531822487064,551097.646580293,3899583.243831342,1070191.6196750246,3451387.5559723256,50881787.70795782,8235539.474007158,0.0,148924.95796298416,649226.4278429407,6894113.660585328,1463166.7003777374,3176616.646022274,222135114.7120159,31086755.07167759,0.0,18200,0.270214,0.0,0.0,11155191.82582102,11155191.82582102,1000,0.174065,0.20628372521887006,0.8663527351987644,0.652625635000577,0.6762556525544331,0.20950657093062433,1.2078909913182634,0.5619467526045991,0.556548113102831,-4.170671850187746,-0.7022646540979718,-1.8253178517467652,-1.7011512544844294,-4.089839984742852,1.0755824874625795,-2.266391624220485,-2.294323003388984,0.002035,0.6626118006391916,-0.5555555555555552,0.0271361844817267,-1.276276276276276,0.3469387755102041,0.122612,0.35205385335012646,0.6437962054005786,0.14819448809423152,0.3502561688607864,-0.23881976967221336,0.017002,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5145246423352505,0.5144766676515197,0.5138870391974044,0.6226169878573747,0.007121,1.4138791631166026,0.5180156442347281,1.7422070940534464,0.2621921171136802,136.66365675350255,30.579722155847715,0.3018733452893195,0.2545478991941722,0.051763
2,2,5,0.907351546187346,0.3315585406589965,0.008645669553644807,0.108927209980256,12.599048495247532,0.9065795064515163,0.9941118846174081,96.49518597444059,0.995573837529704,0.00874,0.6977630613524354,-0.9972993768778444,2,0.00261,0.12002376708259062,0.06981580510992276,1.7191489361702128,0.020202020202020204,0.010101010101010102,2.0,0.010101010101010102,0.010101010101010102,1.0,0.229619,90,0.9,1.0000699213545463,0.01452532586033031,0.022222222222222223,0.012234706616729088,0.011111111111111112,30,90.0,105.0,111.0,123.0,174,33.05917559330678,10590,0.497604,52436.73866425119,479315.7928878483,5360154.948834682,1398366.7604959193,4054328.2048390196,114943072.60889001,14700297.055814108,0.0,2434.651438544605,613825.0126836814,3846717.2429195913,1700442.0148682138,3202760.5261546466,34505124.09683276,6759472.5336818155,0.0,41361.6353178334,918236.097916487,10197925.01038131,1703347.338235254,3969301.3102321364,187127375.9089335,31724332.307564322,0.0,18200,0.269994,0.001,0.0,21542002.42983048,21542002.51740865,1000,0.169819,1.0567383222644735,0.7727346933984541,0.7523045850375728,0.7719370957136626,1.0789196741032236,0.8174647149325808,0.646540110878155,0.7036445066718339,0.2971912280910862,-1.190399237689503,-1.2974106675570023,-1.1945769966715343,0.4048770172414633,-0.936450164033281,-1.8133347260782124,-1.5203753632445505,0.002027,0.6608418266122856,-0.6156156156156153,0.04827070965603183,-1.4764764764764762,0.41836734693877553,0.122999,0.3824366088469557,0.6582198487589083,0.45082122797839663,0.3619758892727904,-0.16276126956098214,0.016196,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5368351391875463,0.536832888707538,0.5371288978789216,0.6583510937416613,0.007009,1.446984840872833,0.3550593108280329,1.7299664561113492,0.25540187515929297,150.12866982944863,36.1323106323165,0.28786382340170047,0.2048403056722927,0.050974
