fid,dim,cm_angle.angle_mean,cm_angle.angle_sd,cm_angle.costs_runtime,cm_angle.dist_ctr2best_mean,cm_angle.dist_ctr2best_sd,cm_angle.dist_ctr2worst_mean,cm_angle.dist_ctr2worst_sd,cm_angle.y_ratio_best2worst_mean,cm_angle.y_ratio_best2worst_sd,disp.costs_runtime,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,ela_conv.additional_function_eval,ela_conv.conv_prob,ela_conv.costs_runtime,ela_conv.lin_dev_abs,ela_conv.lin_dev_orig,ela_conv.lin_prob,ela_curv.costs_fun_evals:,ela_curv.costs_runtime,ela_curv.grad_norm.lq,ela_curv.grad_norm.max,ela_curv.grad_norm.mean,ela_curv.grad_norm.med,ela_curv.grad_norm.min,ela_curv.grad_norm.nas,ela_curv.grad_norm.sd,ela_curv.grad_norm.uq,ela_curv.grad_scale.lq,ela_curv.grad_scale.max,ela_curv.grad_scale.mean,ela_curv.grad_scale.med,ela_curv.grad_scale.min,ela_curv.grad_scale.nas,ela_curv.grad_scale.sd,ela_curv.grad_scale.uq,ela_curv.hessian_cond.lq,ela_curv.hessian_cond.max,ela_curv.hessian_cond.mean,ela_curv.hessian_cond.med,ela_curv.hessian_cond.min,ela_curv.hessian_cond.nas,ela_curv.hessian_cond.sd,ela_curv.hessian_cond.uq,ela_distr.costs_runtime,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.costs_runtime,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_10,ela_level.mmce_qda_25,ela_level.mmce_qda_50,ela_local.additional_function_eval,ela_local.basin_sizes.avg_best,ela_local.basin_sizes.avg_non_best,ela_local.basin_sizes.avg_worst,ela_local.best2mean_contr.orig,ela_local.best2mean_contr.ratio,ela_local.costs_runtime,ela_local.fun_evals.lq,ela_local.fun_evals.max,ela_local.fun_evals.mean,ela_local.fun_evals.median,ela_local.fun_evals.min,ela_local.fun_evals.sd,ela_local.fun_evals.uq,ela_local.n_loc_opt.abs,ela_local.n_loc_opt.rel,ela_meta.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.costs_runtime,ic.eps_max,ic.eps_ratio,ic.eps_s,ic.h_max,ic.m0,nbc.costs_runtime,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,nbc.nn_nb.sd_ratio,pca.costs_runtime,pca.expl_var.cor_init,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cov_x,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cov_x
1,2,151.3929502434807,20.38964867104648,0.051114,1.5028202619551472,0.40546174571327814,1.634969843698907,0.28933204202574514,0.32580978287328427,0.1666066378320055,0.002111,-4.324476794249374,-4.13177835767382,-3.6632367441150935,-2.7265253847812896,-4.236176950262775,-3.9703070998433763,-3.5470316134566175,-2.6454641467432882,0.1773775218061906,0.21537218918002024,0.301078473644336,0.4813474148202873,0.18040779820890188,0.23952395145752953,0.3065349942027837,0.48279660014930403,1000.0,0.605,0.168364,138.96752208130485,-1.4489911603170287,0.0,18200.0,0.262162,1.0000000000000244,42.062980552241186,3.8423388298012418,1.4648435299918992,1.0000000000000002,0.0,7.221110270210864,2.9439320398772115,1.0000000000000289,70.19435614373386,3.8668444446784047,1.4452158637644719,1.0000000000000002,0.0,9.925971967445182,2.866038696188157,1.0000000000000158,85.26472117212933,6.9373505107913225,1.376588955692983,1.0000000000000004,0.0,14.217085357390614,3.11347547330506,0.00323,-0.5873113184348346,1.0,0.6531447262588601,0.18373,1.253731343283582,1.4734375,1.217948717948718,0.0998217468805704,0.16934046345811052,0.16934046345811052,0.0796197266785502,0.10962566844919787,0.13903743315508021,1056.0,0.013492063492063487,0.012134502923976607,0.011111111111111112,1.0000000000000007,0.16455696202531644,0.07525,9.0,12.0,9.66,9.0,9.0,1.2489995996796794,9.0,90.0,0.9,0.008692,0.8314383083008986,0.07018919189880733,4.0755329075526,0.011851216933472217,0.32993635085856704,0.8339729506022275,1.0,1.0000000000000004,1.0,0.126607,0.025316484786313556,-1.276276276276276,-0.6756756756756753,0.6922568020436713,0.35714285714285715,0.015622,0.32131466940985187,-0.28474150633884543,0.5833134587284191,0.753038796522289,0.7390899177058126,0.007172,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6156522804523906,0.5183611634207568,0.5174175035073584,0.5183640195012447
1,3,117.26752722545942,35.92318785783183,0.098334,1.7049138657815444,0.46378080255154724,1.7808849326724836,0.4410034544271196,0.2308436521385866,0.13626226425680682,0.002502,-4.974082398575047,-4.04127769424491,-3.420620531986543,-2.4065923648842595,-5.196095839090591,-3.886135449147555,-3.4512588768054444,-2.3764270892233634,0.2522315365334783,0.39159756598339446,0.48546542178833096,0.638206312124015,0.22606415561918056,0.41313399442829146,0.48112657828007066,0.6445580839419349,1000.0,0.437,0.168841,119.43146235219919,7.011480021375977,0.0,54300.0,0.495795,1.0000000000000315,139.54534659783818,8.88800656147373,2.1738363853922116,1.0000000000000016,0.0,20.2142149210511,5.627416144955337,1.0000000000000617,390.30818336733284,11.271050955147782,2.5168312473648085,1.0000000000000042,0.0,45.11876255739723,6.446160191849442,1.0000000000000449,188.79630804759688,11.747281218542499,2.394102009983284,1.0000000000000018,0.0,28.390299037793078,5.556995560237005,0.002875,0.1028944277780286,1.0,0.6522717332995568,0.219596,1.5714285714285716,1.5,1.2105263157894735,0.10666666666666667,0.16,0.1466666666666667,0.06,0.10666666666666669,0.12666666666666668,2035.0,0.007407407407407408,0.008249158249158247,0.007407407407407408,1.0000000000000013,0.16666666666666666,0.119955,12.0,16.0,12.666666666666666,12.0,12.0,1.4957060089885261,12.0,135.0,0.9,0.008946,0.7571740427309721,0.05905055303192629,6.279542237400067,0.009403639755813653,0.3311766716246901,0.7721410390524315,1.0,1.000000000000002,1.0,0.150317,0.02776153294436801,-1.316316316316316,-0.8758758758758756,0.7882049396180193,0.44594594594594594,0.015307,0.27583144077475996,-0.33359304482479607,0.6094758413218099,0.7885555480077181,0.823910227054901,0.007144,0.75,1.0,0.75,1.0,0.4633574902266788,0.38647147448353586,0.38615546226851877,0.3862897555661531
1,5,134.33023873447007,28.156418264439154,0.074724,1.6038670638683459,0.4346212741324127,1.7079273881856953,0.3651677482264324,0.2783267175059354,0.15143445104440617,0.004373,-4.752404758123041,-4.149498374741952,-3.315525853095794,-2.0752790609832807,-4.5808800252850315,-3.981233031172012,-3.4632916932688484,-2.1143945988394774,0.4599981000990356,0.5285045950333583,0.6236211402700682,0.7643875298863345,0.48348495922081364,0.5483756595669828,0.6071300487931391,0.7615924000596566,1000.0,0.122,0.171512,120.4763223214989,31.844800493444318,0.0,225500.0,1.379612,1.0000000000001072,257.7190085942387,17.982796072985423,4.805166349539058,1.0000000000000056,0.0,36.79721220170219,13.994497735723781,1.0000000000001072,286.17618857639945,18.965481158076784,4.8042759425707535,1.0000000000000082,0.0,40.48212665785128,13.966724748512526,1.0000000000001106,730.8077898370633,25.296370475548027,4.7333447159178395,1.0000000000000067,0.0,72.90511322226267,11.936308307923989,0.135588,-0.21109508327233728,1.0,0.5037792554054662,0.230632,1.2155688622754492,1.45675944333996,1.0254289215686276,0.0959552495697074,0.14013195639701662,0.1400841461082425,0.06406578695735322,0.10790782176324347,0.13616370242876266,4773.0,0.008888888888888889,0.004920634920634921,0.0044444444444444444,1.0000000000000044,0.23255813953488372,0.225199,18.0,24.0,18.192,18.0,18.0,1.0581183571941872,18.0,225.0,0.9,0.029245,0.778082980709828,0.039535833365588455,5.061834606143821,0.008245794511786093,0.3870709773087635,0.7811536524322523,1.0,1.0000000000000033,1.0,0.203497,0.01750827031735725,-1.5365365365365364,-1.0160160160160159,0.8384548960472163,0.5282258064516129,0.022676,0.18004496778200696,-0.4258599222899895,0.6420787258311278,0.8760884051575812,0.9184826568303928,0.007522,0.8333333333333334,1.0,0.8333333333333334,1.0,0.30411734361954373,0.2340542229583305,0.23390952678206714,0.23410141020947556
1,10,134.33023873447007,28.156418264439154,0.074724,1.6038670638683459,0.4346212741324127,1.7079273881856953,0.3651677482264324,0.2783267175059354,0.15143445104440617,0.010532,-4.400539804209901,-3.314637095940366,-2.85335943062198,-1.8798622752146752,-4.417241375103064,-3.2298220577676275,-2.8385197364070756,-1.8855534722735374,0.6531662121418556,0.7387264190019569,0.7750862568857962,0.8518256076570005,0.6527548999208759,0.7458463892123591,0.776860264983313,0.8517741847039346,1000.0,0.007,0.173399,115.51354344998359,80.5720915122343,0.0,1651000.0,7.476972,1.0000000000002318,2195.982608817608,65.45292873003756,10.137404099615848,1.0000000000000258,0.0,224.80551310019453,28.400194738979636,1.0000000000002198,2442.174872835131,51.7481754992996,10.721779448723737,1.000000000000025,0.0,190.86604073929985,27.608698540898345,1.0000000000001894,9880.00476140957,89.37045169169639,10.720639560135403,1.0000000000000238,0.0,691.1759795363187,31.019549492597562,0.197283,-0.16552807756452914,1.0,0.3707874883831221,0.22572,1.0525233349153613,1.210339808897045,1.0595889796284665,0.08202871365702331,0.13004112257412884,0.18200947502585194,0.07600461727148114,0.11195680927302022,0.17198133852776376,17049.0,0.006666666666666667,0.002459787181390745,0.0022222222222222222,1.0000000000000069,0.167420814479638,0.587009,33.0,44.0,33.198,33.0,33.0,1.6852251979886466,33.0,450.0,0.9,0.315425,0.7594319986226804,0.027080963216796632,23.06943565621443,0.0011738892801871198,0.4053654274403581,0.7620787343061421,1.0,1.0000000000000089,1.0,0.328164,0.010544427935261684,-1.7767767767767764,-1.2162162162162162,0.8423851977383842,0.5542168674698795,0.057965,0.10990724325410396,-0.474199359811009,0.6902980643393124,0.9358623714787214,0.9738534069871139,0.008189,0.8181818181818182,0.9,0.8181818181818182,0.9,0.17344934836093354,0.12457784767852564,0.12458324005898357,0.12458395168264268
2,2,138.7641169541157,31.226571668699837,0.050458,1.446984840872833,0.4844066778594808,1.714121246729305,0.2621921171136802,0.2934386938673367,0.2274057359994467,0.002029,0.2971912280910862,-0.7022646540979718,-1.759308653238536,-1.5114299676625387,0.4048770172414633,0.2947437074222279,-2.263102695565781,-1.8490425562924004,1.0567383222644735,0.8663527351987644,0.6650211967317459,0.7122182052254552,1.0789196741032236,1.0577546354828031,0.5619467526045991,0.6420501816006672,1000.0,0.001,0.170386,12317065.83702292,12317065.30833868,0.0,18200.0,0.268897,452624.9350237237,114943072.60889001,5221871.228585158,1275604.8400504242,2734.9140128515246,0.0,14700297.055814108,2918149.304728547,428914.46278844064,52328389.13412646,3899583.243831342,1070191.6196750246,27537.17304320626,0.0,8235539.474007158,3202760.5261546466,558798.2071528656,222135114.7120159,10197925.01038131,1463166.7003777374,26585.877168706702,0.0,31724332.307564322,3176616.646022274,0.003,-0.4742058128073192,1.0,0.8465667286792091,0.187518,1.6716417910447756,2.0,1.0,0.0998217468805704,0.24925727866904338,0.010101010101010102,0.06981580510992276,0.07932263814616757,0.010101010101010102,9984.0,0.011111111111111112,0.012359550561797755,0.011111111111111112,1.0001778303610915,0.030704406194917603,0.46861,86.25,177.0,98.94,106.5,24.0,37.20423973884501,123.0,90.0,0.9,0.00874,0.8191317815921599,0.09132470543691196,12.882007088441698,0.004690694441227479,0.28394964497356806,0.8202033797373428,0.9977935761173276,181.31557108578403,0.9981954485303739,0.122999,0.02776153294436801,-1.276276276276276,-0.5555555555555552,0.6626118006391916,0.35714285714285715,0.015617,0.35573298350287386,-0.1834170647717554,0.2702432249868822,0.6582198487589083,0.3824366088469557,0.007065,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6363964839032872,0.536832888707538,0.5371288978789216,0.5368351391875463
2,3,116.54988257278292,35.60931793340743,0.099139,1.7218148967255151,0.4324545699859356,1.8439248519609663,0.44924245330267515,0.3135074868852224,0.18948019640883262,0.00273,-1.3889919412902882,-2.293081973234899,-1.8069652021882368,-1.3602201982193884,-1.4940049784129847,-2.307070857299725,-1.8882378352370628,-1.5076318884941422,0.7911552086407687,0.6553333070216285,0.7283099639197078,0.795443433294127,0.7759085727360201,0.6535968224791341,0.716776103409239,0.7738646212275531,1000.0,0.0,0.170724,7160106.398631218,7160106.398631218,0.0,54300.0,0.526469,422146.2883592997,97087131.71772021,4065231.49010753,1060029.4246852004,2741.987722482371,0.0,10716608.245435601,2745871.767281631,401378.7266895589,137907832.74112958,5447441.138331328,1053589.1095958867,12375.586617229996,0.0,16592009.258350825,2583728.973907172,418654.7510536594,70691114.1196345,3357345.810711683,983951.9970847879,7101.221966848099,0.0,7985627.80718491,2383458.4739438687,0.006784,-0.09677431069026632,1.0,1.0328844736655836,0.205226,1.5000000000000002,2.2272727272727275,1.8636363636363635,0.10000000000000002,0.26,0.2733333333333333,0.06666666666666667,0.11333333333333333,0.11333333333333334,31291.0,0.007407407407407408,0.008236594803758983,0.007407407407407408,1.0000514508178746,0.016147144611830873,1.208787,176.0,344.0,207.70666666666668,208.0,84.0,55.72817376543417,240.0,135.0,0.9,0.009027,0.533728976518312,0.0691389742818421,8.746250661609315,0.005285681866956727,0.27432010724352296,0.530670231759322,0.9968620339930865,424.40303224033687,0.9982543533738311,0.154255,0.0220466873523941,-1.336336336336336,-0.6756756756756753,0.7511865839344022,0.4527027027027027,0.018559,0.3044280846085368,-0.2720618970414101,0.4435851510325219,0.7469214360372604,0.5860084534693892,0.007157,0.75,1.0,0.75,1.0,0.43377614019841715,0.362058652281725,0.3609250691189966,0.3619667520367755
2,5,127.6569997634493,33.417944801053636,0.0747985,1.584399868799174,0.4584306239227082,1.7790230493451356,0.3557172852081777,0.30347309037627956,0.20844296620413966,0.004478,-2.3476404047046575,-2.1404634068545665,-1.500896306241187,-1.147542904551619,-3.43444313292392,-2.137904871422963,-1.522035344030816,-1.1255861374565166,0.7330180206372534,0.7571513809793552,0.8297141665227149,0.8694973576673427,0.6112671193500102,0.7593300539508079,0.8271311255153379,0.8721588105816637,1000.0,0.0,0.171637,9013902.202294044,9013902.202294044,0.0,225500.0,1.522744,523176.797859916,173269196.27991512,4834699.387461204,1078027.6991233178,23846.939561617204,0.0,14463745.898365369,2917763.74003124,506873.5814150756,265945568.1432423,5650356.367089058,1079118.5790582069,10836.79083224938,0.0,19475023.19825715,2484899.7484738044,421399.6138994159,189304102.4603932,5088396.3867502,1071438.400837809,18834.405558430142,0.0,20562549.74002555,2820484.6449323646,0.131497,-0.6848890828803471,1.0,0.849060615564202,0.234533,1.4990046449900465,1.6691616766467068,1.173066943435392,0.09997131382673552,0.2520080321285141,0.21615031554790595,0.0720501051826353,0.12798814304838402,0.13998852553069419,139077.0,0.008888888888888889,0.004920634920634921,0.0044444444444444444,1.0000190397815805,0.008877663862525864,3.996909,474.0,942.0,555.408,558.0,258.0,122.06963211354964,634.5,225.0,0.9,0.014138,0.6656020861857674,0.078089020705536,28.696158770454375,0.0014053028461670624,0.30653568555765315,0.6629232570195169,0.9981424864214867,625.7565733723845,0.9984337947853644,0.200894,0.01524695727017573,-1.5165165165165162,-0.7557557557557554,0.7754803259693106,0.5443548387096774,0.029835,0.20670010145410495,-0.3384674588107407,0.5551065862261276,0.8366399782445307,0.7217885337528427,0.007447,0.8333333333333334,1.0,0.8333333333333334,1.0,0.30707929550603413,0.237641760473974,0.2374405838132687,0.23765394703961118
2,10,127.6569997634493,33.417944801053636,0.0747985,1.584399868799174,0.4584306239227082,1.7790230493451356,0.3557172852081777,0.30347309037627956,0.20844296620413966,0.01144,-1.767834215794318,-1.5631961590918575,-1.3463046518754105,-0.9845829938226842,-1.5080779855792983,-1.5094757552930549,-1.3478573146343127,-1.00840252626495,0.8606250767596837,0.8767819501930277,0.8939575860684236,0.9223908044640913,0.8814509100170432,0.8813410321929811,0.8941604768467585,0.9207300928941659,1000.0,0.0,0.177258,13947839.723270718,13947839.723270718,0.0,1651000.0,9.499036,585191.3905317408,349261836.28869826,6507036.616894682,1494162.7977450169,24569.03646007557,0.0,25108696.22944285,3663430.8833203143,675128.7381728394,872506163.9822793,9620871.058958126,1334470.9369089052,36812.37759315126,0.0,59189128.10581129,3534432.498700035,650900.7933308594,748757864.3720043,7591982.150397237,1443626.9021509895,30145.1898406454,0.0,38144714.1059082,3797247.9213119596,0.096093,-0.4309005543292139,2.0,0.9070384633650721,0.239029,1.4066140548665915,1.3730661322645288,1.0453428025129745,0.10398480148137461,0.20596157083423514,0.051980376596205184,0.07795252867758459,0.1440131784623524,0.06601255320683934,2614776.0,0.044444444444444446,0.002375649591685227,0.0022222222222222222,1.0000385018958993,0.010032289482212135,54.963642,4295.5,10329.0,5228.652,5258.0,1595.0,1486.981097018311,6063.75,450.0,0.9,0.279798,0.8111020567397926,0.08276219092419476,373.0490799121465,0.00022564665626177455,0.29476613243937877,0.8159976121843283,0.9981431538109882,1552.2111099611045,0.998734732786813,0.331723,0.008768856094587427,-1.7167167167167163,-0.9959959959959955,0.7844449325538493,0.570281124497992,0.064119,0.125201937516632,-0.35725784794178106,0.6182273614433638,0.9136784371253655,0.8131252033963279,0.008347,0.8181818181818182,0.9,0.8181818181818182,0.9,0.1780734926722247,0.12551077064746943,0.12552689425803404,0.12551036688759615
3,2,146.8528917049997,29.198276971975773,0.050029,1.6409763208617256,0.361947694296645,1.7042199042151367,0.32161493490609544,0.29929356283551295,0.3516852830525347,0.002038,-3.0421802812435823,-2.961580929660718,-2.9846900488569803,-2.1122449554519394,-2.96508627502873,-3.1375132211018117,-3.000256412487482,-2.2505807917523732,0.42044837224513193,0.4365221305865133,0.4314005692484078,0.5983355864173163,0.42671546584706505,0.39337758212765717,0.4142556970676219,0.562303542768431,1000.0,0.0,0.1695,313.2100254163573,267.63965477645047,0.0,18200.0,0.271729,2.3019878114772534,840.8830863760923,26.238560708376664,4.497278138764218,1.045267546337567,0.0,86.35408481291498,10.14541736219209,2.865574008907447,840.8830863760923,33.15052981498331,6.108152701521546,1.0137586256527515,0.0,105.993010136248,15.930786984029858,2.283488633840024,275.96525868656477,13.15004149475522,4.750258346542997,1.0268562572620703,0.0,32.097924980269966,13.974275016322826,0.002558,3.1285732719334103,1.0,2.003005949477496,0.223492,1.3754646840148699,2.413366336633663,2.2324544653349,0.0998217468805704,0.28966131907308373,0.21954842543077838,0.07991681521093286,0.11972667855020798,0.10932857991681522,4557.0,0.011111111111111112,0.012359550561797751,0.011111111111111112,0.5643880048511014,0.10831438210009851,0.228677,36.0,96.0,44.67,42.0,24.0,14.308420915352926,54.0,90.0,0.9,0.008717,0.4882941728284933,0.05450990875985535,19.699926992398776,0.0026357794057160146,0.1504276899947152,0.5103616279900816,0.9054312010286399,12.734378983801463,0.9843893255241176,0.123714,0.011835549407197074,-1.6966966966966963,-0.33533533533533516,0.7748289268932514,0.47959183673469385,0.017989,0.36739227154430093,-0.2178136267890573,0.4123732089151153,0.6730313467797638,0.5546937892563546,0.007074,0.6666666666666666,1.0,0.6666666666666666,1.0,0.582984791909314,0.553201800128322,0.5527841624978845,0.5532085476923619
3,3,118.7860741344846,34.23096465986375,0.097291,1.723556314158557,0.4105078240213055,1.8491705680307335,0.3775247125380257,0.2596151691754702,0.16614878800360708,0.002593,-3.597837970304198,-3.4883044315688467,-2.9462336854796165,-1.9969298054256388,-3.25326263464482,-3.538595925163852,-3.1070918479292797,-2.201302254297828,0.45937829625673104,0.47455159611050546,0.557290270485658,0.6991995396260896,0.5069298735317957,0.4690983384924603,0.5314029386724946,0.6663668130071296,1000.0,0.0,0.170875,287.9601260948266,271.51584352241713,0.0,54300.0,0.533226,3.8302052657400116,1148.9574362561864,30.653712289956385,8.073646008306138,1.3025408980964925,0.0,134.45556078299347,20.58841294913969,4.334137866232412,992.2081367830787,31.280439277913906,8.531383938045842,1.2964557786426474,0.0,117.26946046913106,18.538398826156183,3.737102783790916,1115.7164370004955,32.98013760075863,8.019892727537174,1.298479240308438,0.0,117.53088777484346,18.7061277565021,0.002856,0.11527493375502385,1.0,0.8636945144968288,0.198005,1.5,1.666666666666667,1.7222222222222223,0.10000000000000002,0.24666666666666667,0.18666666666666668,0.08,0.12,0.12,11127.0,0.007407407407407408,0.008236594803758983,0.007407407407407408,0.5178484195499466,0.2031460687938059,0.445009,56.0,188.0,73.28,68.0,28.0,27.286348005404385,84.0,135.0,0.9,0.008937,0.564346327849375,0.0520237322061311,6.443633709820624,0.008736541822216544,0.2829348550657217,0.5599614124744466,0.9660641560988584,10.95692741542926,0.990484583534037,0.150766,0.017921262571490078,-1.4364364364364361,-0.5955955955955953,0.7656640905275298,0.47297297297297297,0.016294,0.26606122512246627,-0.2966042434775373,0.5190391297059038,0.7954325226033788,0.775049576981749,0.007093,0.75,1.0,0.75,1.0,0.43770932765695836,0.36105886993241215,0.36074918275795687,0.3609152464579181
